smiles,DockingScore
OC(c1ccccc1)CC(=O)c1c(O)ccc2c1cccc2,-9.499917984008787
Clc1ccc(cc1)Cc1nc2ccc(cc2c(c1O)C(=O)[O-])Br,-9.499029159545898
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccn2c1c(C#N)cn2,-9.498163223266602
OC[C@H]1[NH2+]C[C@H]([C@H]1O)O,-9.496822357177734
OC[C@H]1O[C@@H](OCCc2cc(Br)c(c(c2)Br)[O-])[C@@H]([C@H]([C@H]1O)O)O,-9.489482879638672
OC1=C(COC1=O)CC1=C(O)C(=O)OC1,-9.488710403442385
O[C@H]1[C@H](O)CC(=C[C@@H]1[NH3+])C(=O)[O-],-9.488245010375977
O=C1C(C)Oc2c(N1O)cccc2,-9.487676620483398
CCCC[NH+]1CCN2C(C1)c1cc(O)c(cc1CC2)O,-9.485958099365234
ONC(=O)N/N=C/c1cc(Br)cc(c1O)Br,-9.483469009399414
OCC1OC(C(C1O)O)n1cnc2c1nnnc2O,-9.482344627380373
O[C@@H]1CC(=C[C@H]([C@H]1O)O)C(=O)[O-],-9.481568336486816
NC(=O)c1cc(ccc1O)c1[nH+]c2n(c1)cccc2,-9.481313705444336
OC(C[NH+]1CCOCC1)COc1ccc(cc1C)C,-9.478184700012209
OCc1c(CO)cnc(c1O)C,-9.477916717529297
ONC(=O)Cc1ccccc1Br,-9.47246265411377
Oc1ccc(cc1O)c1nc2c(s1)cccc2,-9.47126293182373
C[NH+]1CCc2c(C1)c(C)cc1c2nc(O)c(n1)O,-9.47100830078125
NC(=O)N(C(c1cccc(c1)Oc1ccccc1)C)O,-9.468975067138672
OC1CCC(CC1O)C(c1nnc([nH]1)C)O,-9.46788215637207
CC(OC1OC(=CC(C1O)O)C(=O)[O-])C,-9.467170715332031
OC[C@H]1O[C@@H](C(=O)Nc2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O,-9.465743064880373
Oc1cc(ccc1O)c1oc2c(c1)c(Br)ccc2O,-9.463094711303713
OC[C@H]1OC[C@H]([C@H]1O)O,-9.462688446044922
OCC(C(C(C(=O)CO)O)O)O,-9.462660789489746
Oc1cc2ncn(c2cc1O)c1ccccc1,-9.461807250976562
OCCC1(O)[C@H](O)C[NH2+]C[C@@H]1O,-9.460580825805664
[O-]C(=O)C(=C)C(C(CO)O)O,-9.458854675292969
Cc1ccc(cc1)Cn1c(O)nc2c1ncnc2N,-9.458014488220217
Clc1ccc(cc1)Cc1nc2c(C)cccc2c(c1O)C(=O)[O-],-9.45594882965088
Clc1ccc(cc1)Cc1nc2cc(C)ccc2c(c1O)C(=O)[O-],-9.45171356201172
OCC(C1OC(=O)C(=C1OC)OC)O,-9.448159217834473
O=C(Cc1ccccc1)N/N=C/c1cccc(c1O)O,-9.445119857788086
OC[C@H](Cn1cnc2c1ncnc2O)O,-9.437474250793455
OC[C@@H](C([C@@H](C(=O)CO)O)O)O,-9.43291187286377
